,,merge,quick
ascending,1,108,22
ascending,1.25,30,20
ascending,1.5,56,72
ascending,1.75,110,136
ascending,2,200,429
ascending,2.25,388,308
ascending,2.5,324,907
ascending,2.75,140,1947
ascending,3,253,7655
ascending,3.25,851,40106
ascending,3.5,595,16795
ascending,3.75,1019,11851
ascending,4,3119,40475
ascending,4.25,2970,99974
ascending,4.5,6331,318696
ascending,4.75,7288,972986
ascending,5,13981,2148932
ascending,5.25,13006,6565022
ascending,5.5,34162,2.19E+07
ascending,5.75,53452,7.07E+07
ascending,6,115834,2.51E+08
,,merge,quick
descending,1,1,21
descending,1.25,1,0
descending,1.5,2,1
descending,1.75,4,2
descending,2,5,4
descending,2.25,9,10
descending,2.5,16,27
descending,2.75,29,75
descending,3,53,220
descending,3.25,2755,864
descending,3.5,149,2010
descending,3.75,289,7051
descending,4,624,25545
descending,4.25,1315,84425
descending,4.5,2734,271865
descending,4.75,5178,755340
descending,5,8410,2808049
descending,5.25,18584,7597277
descending,5.5,27949,2.63E+07
descending,5.75,42266,6.66E+07
descending,6,106526,2.71E+08
,,merge,quick
random,1,2,0
random,1.25,1,1
random,1.5,2,1
random,1.75,4,3
random,2,8,5
random,2.25,15,10
random,2.5,42,18
random,2.75,65,52
random,3,96,62
random,3.25,178,153
random,3.5,358,233
random,3.75,637,408
random,4,1185,791
random,4.25,2203,1493
random,4.5,4102,2876
random,4.75,8395,5783
random,5,15251,11365
random,5.25,34498,19274
random,5.5,61147,41326
random,5.75,127173,68060
random,6,199422,143136
